"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"1979"	"1979"	"Female"	"F"	75	2011807	3.7	0.0%
	"Alabama"	"01"	"1979"	"1979"	"Male"	"M"	343	1861596	18.4	0.1%
	"Alabama"	"01"	"1980"	"1980"	"Female"	"F"	74	2024013	3.7	0.0%
	"Alabama"	"01"	"1980"	"1980"	"Male"	"M"	361	1874104	19.3	0.1%
	"Alabama"	"01"	"1981"	"1981"	"Female"	"F"	91	2037016	4.5	0.0%
	"Alabama"	"01"	"1981"	"1981"	"Male"	"M"	302	1883081	16.0	0.1%
	"Alabama"	"01"	"1982"	"1982"	"Female"	"F"	92	2041160	4.5	0.0%
	"Alabama"	"01"	"1982"	"1982"	"Male"	"M"	336	1884764	17.8	0.1%
	"Alabama"	"01"	"1983"	"1983"	"Female"	"F"	93	2044849	4.5	0.0%
	"Alabama"	"01"	"1983"	"1983"	"Male"	"M"	332	1888989	17.6	0.1%
	"Alabama"	"01"	"1984"	"1984"	"Female"	"F"	100	2054979	4.9	0.0%
	"Alabama"	"01"	"1984"	"1984"	"Male"	"M"	366	1897421	19.3	0.1%
	"Alabama"	"01"	"1985"	"1985"	"Female"	"F"	90	2067683	4.4	0.0%
	"Alabama"	"01"	"1985"	"1985"	"Male"	"M"	340	1906418	17.8	0.1%
	"Alabama"	"01"	"1986"	"1986"	"Female"	"F"	99	2077496	4.8	0.0%
	"Alabama"	"01"	"1986"	"1986"	"Male"	"M"	405	1915666	21.1	0.1%
	"Alabama"	"01"	"1987"	"1987"	"Female"	"F"	97	2090188	4.6	0.0%
	"Alabama"	"01"	"1987"	"1987"	"Male"	"M"	352	1926993	18.3	0.1%
	"Alabama"	"01"	"1988"	"1988"	"Female"	"F"	105	2095359	5.0	0.0%
	"Alabama"	"01"	"1988"	"1988"	"Male"	"M"	393	1931686	20.3	0.1%
	"Alabama"	"01"	"1989"	"1989"	"Female"	"F"	98	2100155	4.7	0.0%
	"Alabama"	"01"	"1989"	"1989"	"Male"	"M"	408	1934825	21.1	0.1%
	"Alabama"	"01"	"1990"	"1990"	"Female"	"F"	99	2105930	4.7	0.0%
	"Alabama"	"01"	"1990"	"1990"	"Male"	"M"	415	1937713	21.4	0.1%
	"Alabama"	"01"	"1991"	"1991"	"Female"	"F"	96	2135654	4.5	0.0%
	"Alabama"	"01"	"1991"	"1991"	"Male"	"M"	443	1965953	22.5	0.1%
	"Alabama"	"01"	"1992"	"1992"	"Female"	"F"	92	2161361	4.3	0.0%
	"Alabama"	"01"	"1992"	"1992"	"Male"	"M"	431	1994338	21.6	0.1%
	"Alabama"	"01"	"1993"	"1993"	"Female"	"F"	109	2191256	5.0	0.0%
