"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","SUICIDE","TOT","100000PER","A","1960",13.4,
"USA","SUICIDE","TOT","100000PER","A","1961",13.1,
"USA","SUICIDE","TOT","100000PER","A","1962",13.7,
"USA","SUICIDE","TOT","100000PER","A","1963",13.9,
"USA","SUICIDE","TOT","100000PER","A","1964",13.5,
"USA","SUICIDE","TOT","100000PER","A","1965",13.9,
"USA","SUICIDE","TOT","100000PER","A","1966",13.6,
"USA","SUICIDE","TOT","100000PER","A","1967",13.3,
"USA","SUICIDE","TOT","100000PER","A","1968",13.2,"B"
"USA","SUICIDE","TOT","100000PER","A","1969",13.5,
"USA","SUICIDE","TOT","100000PER","A","1970",13.9,
"USA","SUICIDE","TOT","100000PER","A","1971",13.9,
"USA","SUICIDE","TOT","100000PER","A","1972",14.1,
"USA","SUICIDE","TOT","100000PER","A","1973",13.9,
"USA","SUICIDE","TOT","100000PER","A","1974",13.9,
"USA","SUICIDE","TOT","100000PER","A","1975",14.2,
"USA","SUICIDE","TOT","100000PER","A","1976",13.9,
"USA","SUICIDE","TOT","100000PER","A","1977",14.3,
"USA","SUICIDE","TOT","100000PER","A","1978",13.5,
"USA","SUICIDE","TOT","100000PER","A","1979",13.1,"B"
"USA","SUICIDE","TOT","100000PER","A","1980",12.7,
"USA","SUICIDE","TOT","100000PER","A","1981",12.8,
"USA","SUICIDE","TOT","100000PER","A","1982",13,
"USA","SUICIDE","TOT","100000PER","A","1983",13,
"USA","SUICIDE","TOT","100000PER","A","1984",13.2,
"USA","SUICIDE","TOT","100000PER","A","1985",13.1,
"USA","SUICIDE","TOT","100000PER","A","1986",13.6,
"USA","SUICIDE","TOT","100000PER","A","1987",13.4,
"USA","SUICIDE","TOT","100000PER","A","1988",13,
"USA","SUICIDE","TOT","100000PER","A","1989",12.8,
"USA","SUICIDE","TOT","100000PER","A","1990",13.1,
"USA","SUICIDE","TOT","100000PER","A","1991",12.9,
"USA","SUICIDE","TOT","100000PER","A","1992",12.5,
"USA","SUICIDE","TOT","100000PER","A","1993",12.6,
"USA","SUICIDE","TOT","100000PER","A","1994",12.5,
"USA","SUICIDE","TOT","100000PER","A","1995",12.4,
"USA","SUICIDE","TOT","100000PER","A","1996",12.1,
"USA","SUICIDE","TOT","100000PER","A","1997",11.9,
"USA","SUICIDE","TOT","100000PER","A","1998",11.7,
"USA","SUICIDE","TOT","100000PER","A","1999",11.1,"B"
"USA","SUICIDE","TOT","100000PER","A","2000",10.8,
"USA","SUICIDE","TOT","100000PER","A","2001",11.1,
"USA","SUICIDE","TOT","100000PER","A","2002",11.3,
"USA","SUICIDE","TOT","100000PER","A","2003",11.1,
"USA","SUICIDE","TOT","100000PER","A","2004",11.3,
"USA","SUICIDE","TOT","100000PER","A","2005",11.2,
"USA","SUICIDE","TOT","100000PER","A","2006",11.3,
"USA","SUICIDE","TOT","100000PER","A","2007",11.7,
"USA","SUICIDE","TOT","100000PER","A","2008",12,
"USA","SUICIDE","TOT","100000PER","A","2009",12.2,
"USA","SUICIDE","TOT","100000PER","A","2010",12.5,
"USA","SUICIDE","TOT","100000PER","A","2011",12.8,
"USA","SUICIDE","TOT","100000PER","A","2012",13,
"USA","SUICIDE","TOT","100000PER","A","2013",13.1,
"USA","SUICIDE","TOT","100000PER","A","2014",13.5,
