"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"1968"	"1968"	"Female"	"F"	68	1751442	3.9	0.0%
	"Alabama"	"01"	"1968"	"1968"	"Male"	"M"	246	1638188	15.0	0.1%
"Total"	"Alabama"	"01"	"1968"	"1968"			314	3389630	9.3	0.1%
	"Alabama"	"01"	"1969"	"1969"	"Female"	"F"	73	1769527	4.1	0.0%
	"Alabama"	"01"	"1969"	"1969"	"Male"	"M"	251	1651119	15.2	0.1%
"Total"	"Alabama"	"01"	"1969"	"1969"			324	3420646	9.5	0.1%
	"Alabama"	"01"	"1970"	"1970"	"Female"	"F"	76	1785055	4.3	0.0%
	"Alabama"	"01"	"1970"	"1970"	"Male"	"M"	233	1665911	14.0	0.1%
"Total"	"Alabama"	"01"	"1970"	"1970"			309	3450966	9.0	0.1%
	"Alabama"	"01"	"1971"	"1971"	"Female"	"F"	87	1812105	4.8	0.0%
	"Alabama"	"01"	"1971"	"1971"	"Male"	"M"	257	1691214	15.2	0.1%
"Total"	"Alabama"	"01"	"1971"	"1971"			344	3503319	9.8	0.1%
	"Alabama"	"01"	"1972"	"1972"	"Female"	"F"	84	1831725	4.6	0.0%
	"Alabama"	"01"	"1972"	"1972"	"Male"	"M"	256	1709303	15.0	0.1%
"Total"	"Alabama"	"01"	"1972"	"1972"			340	3541028	9.6	0.1%
	"Alabama"	"01"	"1973"	"1973"	"Female"	"F"	77	1853022	4.2	0.0%
	"Alabama"	"01"	"1973"	"1973"	"Male"	"M"	264	1726839	15.3	0.1%
"Total"	"Alabama"	"01"	"1973"	"1973"			341	3579861	9.5	0.1%
	"Alabama"	"01"	"1974"	"1974"	"Female"	"F"	88	1878543	4.7	0.0%
	"Alabama"	"01"	"1974"	"1974"	"Male"	"M"	274	1748837	15.7	0.1%
"Total"	"Alabama"	"01"	"1974"	"1974"			362	3627380	10.0	0.1%
	"Alabama"	"01"	"1975"	"1975"	"Female"	"F"	77	1906881	4.0	0.0%
	"Alabama"	"01"	"1975"	"1975"	"Male"	"M"	302	1772347	17.0	0.1%
"Total"	"Alabama"	"01"	"1975"	"1975"			379	3679228	10.3	0.1%
	"Alabama"	"01"	"1976"	"1976"	"Female"	"F"	97	1938285	5.0	0.0%
	"Alabama"	"01"	"1976"	"1976"	"Male"	"M"	285	1799083	15.8	0.1%
"Total"	"Alabama"	"01"	"1976"	"1976"			382	3737368	10.2	0.1%
	"Alabama"	"01"	"1977"	"1977"	"Female"	"F"	85	1964730	4.3	0.0%
	"Alabama"	"01"	"1977"	"1977"	"Male"	"M"	311	1822498	17.1	0.1%
"Total"	"Alabama"	"01"	"1977"	"1977"			396	3787228	10.5	0.1%
	"Alabama"	"01"	"1978"	"1978"	"Female"	"F"	72	1991896	3.6	0.0%
	"Alabama"	"01"	"1978"	"1978"	"Male"	"M"	320	1844505	17.3	0.1%
"Total"	"Alabama"	"01"	"1978"	"1978"			392	3836401	10.2	0.1%
"Total"	"Alabama"	"01"					3883	39553055	9.8	1.4%
	"Alaska"	"02"	"1968"	"1968"	"Female"	"F"	9	129008	7.0 (Unreliable)	0.0%
	"Alaska"	"02"	"1968"	"1968"	"Male"	"M"	28	159503	17.6	0.0%
"Total"	"Alaska"	"02"	"1968"	"1968"			37	288511	12.8	0.0%
	"Alaska"	"02"	"1969"	"1969"	"Female"	"F"	8	133639	6.0 (Unreliable)	0.0%
	"Alaska"	"02"	"1969"	"1969"	"Male"	"M"	23	162665	14.1	0.0%
"Total"	"Alaska"	"02"	"1969"	"1969"			31	296304	10.5	0.0%
	"Alaska"	"02"	"1970"	"1970"	"Female"	"F"	5	138036	3.6 (Unreliable)	0.0%
	"Alaska"	"02"	"1970"	"1970"	"Male"	"M"	32	165643	19.3	0.0%
"Total"	"Alaska"	"02"	"1970"	"1970"			37	303679	12.2	0.0%
	"Alaska"	"02"	"1971"	"1971"	"Female"	"F"	13	144952	9.0 (Unreliable)	0.0%
	"Alaska"	"02"	"1971"	"1971"	"Male"	"M"	34	172060	19.8	0.0%
"Total"	"Alaska"	"02"	"1971"	"1971"			47	317012	14.8	0.0%
	"Alaska"	"02"	"1972"	"1972"	"Female"	"F"	10	150257	6.7 (Unreliable)	0.0%
	"Alaska"	"02"	"1972"	"1972"	"Male"	"M"	44	176329	25.0	0.0%
"Total"	"Alaska"	"02"	"1972"	"1972"			54	326586	16.5	0.0%
	"Alaska"	"02"	"1973"	"1973"	"Female"	"F"	12	153998	7.8 (Unreliable)	0.0%
	"Alaska"	"02"	"1973"	"1973"	"Male"	"M"	44	178942	24.6	0.0%
"Total"	"Alaska"	"02"	"1973"	"1973"			56	332940	16.8	0.0%
	"Alaska"	"02"	"1974"	"1974"	"Female"	"F"	7	160122	4.4 (Unreliable)	0.0%
	"Alaska"	"02"	"1974"	"1974"	"Male"	"M"	34	184712	18.4	0.0%
"Total"	"Alaska"	"02"	"1974"	"1974"			41	344834	11.9	0.0%
	"Alaska"	"02"	"1975"	"1975"	"Female"	"F"	14	173649	8.1 (Unreliable)	0.0%
	"Alaska"	"02"	"1975"	"1975"	"Male"	"M"	60	197435	30.4	0.0%
"Total"	"Alaska"	"02"	"1975"	"1975"			74	371084	19.9	0.0%
	"Alaska"	"02"	"1976"	"1976"	"Female"	"F"	17	184648	9.2 (Unreliable)	0.0%
	"Alaska"	"02"	"1976"	"1976"	"Male"	"M"	57	208831	27.3	0.0%
"Total"	"Alaska"	"02"	"1976"	"1976"			74	393479	18.8	0.0%
	"Alaska"	"02"	"1977"	"1977"	"Female"	"F"	15	186604	8.0 (Unreliable)	0.0%
	"Alaska"	"02"	"1977"	"1977"	"Male"	"M"	70	211551	33.1	0.0%
"Total"	"Alaska"	"02"	"1977"	"1977"			85	398155	21.3	0.0%
	"Alaska"	"02"	"1978"	"1978"	"Female"	"F"	10	189611	5.3 (Unreliable)	0.0%
	"Alaska"	"02"	"1978"	"1978"	"Male"	"M"	51	213690	23.9	0.0%
"Total"	"Alaska"	"02"	"1978"	"1978"			61	403301	15.1	0.0%
"Total"	"Alaska"	"02"					597	3775885	15.8	0.2%
	"Arizona"	"04"	"1968"	"1968"	"Female"	"F"	61	832247	7.3	0.0%
	"Arizona"	"04"	"1968"	"1968"	"Male"	"M"	177	803506	22.0	0.1%
"Total"	"Arizona"	"04"	"1968"	"1968"			238	1635753	14.5	0.1%
	"Arizona"	"04"	"1969"	"1969"	"Female"	"F"	67	871841	7.7	0.0%
	"Arizona"	"04"	"1969"	"1969"	"Male"	"M"	201	842206	23.9	0.1%
"Total"	"Arizona"	"04"	"1969"	"1969"			268	1714047	15.6	0.1%
	"Arizona"	"04"	"1970"	"1970"	"Female"	"F"	56	905046	6.2	0.0%
	"Arizona"	"04"	"1970"	"1970"	"Male"	"M"	201	876198	22.9	0.1%
"Total"	"Arizona"	"04"	"1970"	"1970"			257	1781244	14.4	0.1%
	"Arizona"	"04"	"1971"	"1971"	"Female"	"F"	98	963439	10.2	0.0%
	"Arizona"	"04"	"1971"	"1971"	"Male"	"M"	243	937022	25.9	0.1%
"Total"	"Arizona"	"04"	"1971"	"1971"			341	1900461	17.9	0.1%
	"Arizona"	"04"	"1972"	"1972"	"Female"	"F"	106	1018043	10.4	0.0%
	"Arizona"	"04"	"1972"	"1972"	"Male"	"M"	230	992514	23.2	0.1%
"Total"	"Arizona"	"04"	"1972"	"1972"			336	2010557	16.7	0.1%
	"Arizona"	"04"	"1973"	"1973"	"Female"	"F"	79	1075677	7.3	0.0%
	"Arizona"	"04"	"1973"	"1973"	"Male"	"M"	250	1050067	23.8	0.1%
"Total"	"Arizona"	"04"	"1973"	"1973"			329	2125744	15.5	0.1%
	"Arizona"	"04"	"1974"	"1974"	"Female"	"F"	101	1126220	9.0	0.0%
	"Arizona"	"04"	"1974"	"1974"	"Male"	"M"	293	1099407	26.7	0.1%
"Total"	"Arizona"	"04"	"1974"	"1974"			394	2225627	17.7	0.1%
	"Arizona"	"04"	"1975"	"1975"	"Female"	"F"	97	1157873	8.4	0.0%
	"Arizona"	"04"	"1975"	"1975"	"Male"	"M"	290	1129102	25.7	0.1%
"Total"	"Arizona"	"04"	"1975"	"1975"			387	2286975	16.9	0.1%
	"Arizona"	"04"	"1976"	"1976"	"Female"	"F"	122	1190222	10.3	0.0%
	"Arizona"	"04"	"1976"	"1976"	"Male"	"M"	267	1159764	23.0	0.1%
