"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","SUICIDE","MEN","100000PER","A","1960",21.8,
"USA","SUICIDE","MEN","100000PER","A","1961",21.3,
"USA","SUICIDE","MEN","100000PER","A","1962",21.9,
"USA","SUICIDE","MEN","100000PER","A","1963",21.8,
"USA","SUICIDE","MEN","100000PER","A","1964",21.3,
"USA","SUICIDE","MEN","100000PER","A","1965",21.5,
"USA","SUICIDE","MEN","100000PER","A","1966",21.3,
"USA","SUICIDE","MEN","100000PER","A","1967",20.5,
"USA","SUICIDE","MEN","100000PER","A","1968",20.5,"B"
"USA","SUICIDE","MEN","100000PER","A","1969",20.7,
"USA","SUICIDE","MEN","100000PER","A","1970",21.2,
"USA","SUICIDE","MEN","100000PER","A","1971",21.1,
"USA","SUICIDE","MEN","100000PER","A","1972",21.7,
"USA","SUICIDE","MEN","100000PER","A","1973",21.5,
"USA","SUICIDE","MEN","100000PER","A","1974",21.6,
"USA","SUICIDE","MEN","100000PER","A","1975",22.1,
"USA","SUICIDE","MEN","100000PER","A","1976",21.6,
"USA","SUICIDE","MEN","100000PER","A","1977",22.6,
"USA","SUICIDE","MEN","100000PER","A","1978",21.4,
"USA","SUICIDE","MEN","100000PER","A","1979",20.9,"B"
"USA","SUICIDE","MEN","100000PER","A","1980",20.8,
"USA","SUICIDE","MEN","100000PER","A","1981",20.8,
"USA","SUICIDE","MEN","100000PER","A","1982",21.4,
"USA","SUICIDE","MEN","100000PER","A","1983",21.6,
"USA","SUICIDE","MEN","100000PER","A","1984",21.9,
"USA","SUICIDE","MEN","100000PER","A","1985",22.2,
"USA","SUICIDE","MEN","100000PER","A","1986",22.9,
"USA","SUICIDE","MEN","100000PER","A","1987",22.9,
"USA","SUICIDE","MEN","100000PER","A","1988",22.3,
"USA","SUICIDE","MEN","100000PER","A","1989",22.1,
"USA","SUICIDE","MEN","100000PER","A","1990",22.6,
"USA","SUICIDE","MEN","100000PER","A","1991",22.4,
"USA","SUICIDE","MEN","100000PER","A","1992",21.6,
"USA","SUICIDE","MEN","100000PER","A","1993",21.9,
"USA","SUICIDE","MEN","100000PER","A","1994",21.6,
"USA","SUICIDE","MEN","100000PER","A","1995",21.5,
"USA","SUICIDE","MEN","100000PER","A","1996",21,
"USA","SUICIDE","MEN","100000PER","A","1997",20.3,
"USA","SUICIDE","MEN","100000PER","A","1998",20.1,
"USA","SUICIDE","MEN","100000PER","A","1999",19,"B"
"USA","SUICIDE","MEN","100000PER","A","2000",18.5,
"USA","SUICIDE","MEN","100000PER","A","2001",18.9,
"USA","SUICIDE","MEN","100000PER","A","2002",19.2,
"USA","SUICIDE","MEN","100000PER","A","2003",18.7,
"USA","SUICIDE","MEN","100000PER","A","2004",18.7,
"USA","SUICIDE","MEN","100000PER","A","2005",18.7,
"USA","SUICIDE","MEN","100000PER","A","2006",18.7,
"USA","SUICIDE","MEN","100000PER","A","2007",19.2,
"USA","SUICIDE","MEN","100000PER","A","2008",19.8,
"USA","SUICIDE","MEN","100000PER","A","2009",20,
"USA","SUICIDE","MEN","100000PER","A","2010",20.5,
"USA","SUICIDE","MEN","100000PER","A","2011",20.8,
"USA","SUICIDE","MEN","100000PER","A","2012",21.1,
"USA","SUICIDE","MEN","100000PER","A","2013",21.1,
"USA","SUICIDE","MEN","100000PER","A","2014",21.6,
