State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate,% of Total Deaths
Alabama,1,1968,1968,Female,F,68,1751442,3.9,0.00%
Alabama,1,1968,1968,Male,M,246,1638188,15,0.10%
Alabama,1,1969,1969,Female,F,73,1769527,4.1,0.00%
Alabama,1,1969,1969,Male,M,251,1651119,15.2,0.10%
Alabama,1,1970,1970,Female,F,76,1785055,4.3,0.00%
Alabama,1,1970,1970,Male,M,233,1665911,14,0.10%
Alabama,1,1971,1971,Female,F,87,1812105,4.8,0.00%
Alabama,1,1971,1971,Male,M,257,1691214,15.2,0.10%
Alabama,1,1972,1972,Female,F,84,1831725,4.6,0.00%
Alabama,1,1972,1972,Male,M,256,1709303,15,0.10%
Alabama,1,1973,1973,Female,F,77,1853022,4.2,0.00%
Alabama,1,1973,1973,Male,M,264,1726839,15.3,0.10%
Alabama,1,1974,1974,Female,F,88,1878543,4.7,0.00%
Alabama,1,1974,1974,Male,M,274,1748837,15.7,0.10%
Alabama,1,1975,1975,Female,F,77,1906881,4,0.00%
Alabama,1,1975,1975,Male,M,302,1772347,17,0.10%
Alabama,1,1976,1976,Female,F,97,1938285,5,0.00%
Alabama,1,1976,1976,Male,M,285,1799083,15.8,0.10%
Alabama,1,1977,1977,Female,F,85,1964730,4.3,0.00%
Alabama,1,1977,1977,Male,M,311,1822498,17.1,0.10%
Alabama,1,1978,1978,Female,F,72,1991896,3.6,0.00%
Alabama,1,1978,1978,Male,M,320,1844505,17.3,0.10%
Alaska,2,1968,1968,Female,F,9,129008,7,0.00%
Alaska,2,1968,1968,Male,M,28,159503,17.6,0.00%
Alaska,2,1969,1969,Female,F,8,133639,6,0.00%
Alaska,2,1969,1969,Male,M,23,162665,14.1,0.00%
Alaska,2,1970,1970,Female,F,5,138036,3.6,0.00%
Alaska,2,1970,1970,Male,M,32,165643,19.3,0.00%
Alaska,2,1971,1971,Female,F,13,144952,9,0.00%
Alaska,2,1971,1971,Male,M,34,172060,19.8,0.00%
Alaska,2,1972,1972,Female,F,10,150257,6.7,0.00%
Alaska,2,1972,1972,Male,M,44,176329,25,0.00%
Alaska,2,1973,1973,Female,F,12,153998,7.8,0.00%
Alaska,2,1973,1973,Male,M,44,178942,24.6,0.00%
Alaska,2,1974,1974,Female,F,7,160122,4.4,0.00%
Alaska,2,1974,1974,Male,M,34,184712,18.4,0.00%
Alaska,2,1975,1975,Female,F,14,173649,8.1,0.00%
Alaska,2,1975,1975,Male,M,60,197435,30.4,0.00%
Alaska,2,1976,1976,Female,F,17,184648,9.2,0.00%
Alaska,2,1976,1976,Male,M,57,208831,27.3,0.00%
Alaska,2,1977,1977,Female,F,15,186604,8,0.00%
Alaska,2,1977,1977,Male,M,70,211551,33.1,0.00%
Alaska,2,1978,1978,Female,F,10,189611,5.3,0.00%
Alaska,2,1978,1978,Male,M,51,213690,23.9,0.00%
Arizona,4,1968,1968,Female,F,61,832247,7.3,0.00%
Arizona,4,1968,1968,Male,M,177,803506,22,0.10%
Arizona,4,1969,1969,Female,F,67,871841,7.7,0.00%
Arizona,4,1969,1969,Male,M,201,842206,23.9,0.10%
Arizona,4,1970,1970,Female,F,56,905046,6.2,0.00%
Arizona,4,1970,1970,Male,M,201,876198,22.9,0.10%
