Year,Unemployment Rate (December),GDP Growth,Inflation (December Year-over-Year),What Happened
1960,6.60,2.60,1.40,Recession. 
1961,6.00,2.60,0.70,JFK. Min wage $1.15
1962,5.50,6.10,1.30,Cuban Missile Crisis
1963,5.50,4.40,1.60,LBJ. Min wage $1.25
1964,5.00,5.80,1.00,Tax cut
1965,4.00,6.50,1.90,Vietnam War
1966,3.80,6.60,3.50,Expansion
1967,3.80,2.70,3.00,Min wage $1.40
1968,3.40,4.90,4.70,Min wage $1.60
1969,3.50,3.10,6.20,Nixon took office
1970,6.10,0.20,5.60,Recession
1971,6.00,3.30,3.30,Emergency Employment Act. Wage-price controls
1972,5.20,5.20,3.40,Stagflation. 
1973,4.90,5.60,8.70,"CETA. Gold standard, Vietnam War ended"
1974,7.20,-0.50,12.30,Watergate. Min wage $2.00
1975,8.20,-0.20,6.90,Recession ended.
1976,7.80,5.40,4.90,Expansion. 
1977,6.40,4.60,6.70,Carter took office.
1978,6.00,5.60,9.00,Fed raised rate to 20 to stop inflation
1979,6.00,3.20,13.30,
1980,7.20,-0.20,12.50,Recession
1981,8.50,2.60,8.90,Reagan tax cuts. Min wage $3.35
1982,10.80,-1.90,3.80,Job Act. Garn-St.Germain Act.
1983,8.30,4.60,3.80,Reagan increased military spending
1984,7.30,7.30,3.90,
1985,7.00,4.20,3.80,Expansion
1986,6.60,3.50,1.10,Tax cuts
1987,5.70,3.50,4.40,Black Monday
1988,5.30,4.20,4.40,Fed raised rate
1989,5.40,3.70,4.60,S&L Crisis
1990,6.30,1.90,6.10,Recession
1991,7.30,-0.10,3.10,Desert Storm. Min wage $4.25
1992,7.40,3.60,2.90,NAFTA drafted
1993,6.50,2.70,2.70,Balanced Budget Act
1994,5.50,4.00,2.70,School to Work Act 
1995,5.60,2.70,2.50,Expansion
1996,5.40,3.80,3.30,Welfare reform
1997,4.70,4.50,1.70,Min wage $5.85
1998,4.40,4.50,1.60,LTCM crisis
1999,4.00,4.70,2.70,Euro. Serbian airstrike
2000,3.90,4.10,3.40,NASDAQ hit record high.
2001,5.70,1.00,1.60,Bush tax cuts. 9/11 attacks
2002,6.00,1.80,2.40,War on Terror
2003,5.70,2.80,1.90,JGTRRA
2004,5.40,3.80,3.30,Expansion.
2005,4.90,3.30,3.40,Bankruptcy Act. Katrina
2006,4.40,2.70,2.50,Expansion.
2007,5.00,1.80,4.10,EU became #1 economy. 
2008,7.30,-0.30,0.10,Min. wage = $6.55/ hour. Financial crisis
2009,9.90,-2.80,2.70,ARRA. Min wage $7.25. Jobless benefits extended
2010,9.30,2.50,1.50,Obama tax cuts. Iraq War ended
2011,8.50,1.60,3.00,26 months of job losses by July. Debt ceiling crisis. 
2012,7.90,2.20,1.70,QE. 10-year rate at 200-year low. Fiscal cliff.
2013,6.70,1.70,1.50,Stocks up 30. Long term=50 of unemployed. 
2014,5.60,2.60,0.80,Unemployment at 2007 levels.
